tau,split,setting,ToolCall@1_clean,Reject@1_corr,Balanced,ToolCall@1_clean_ci_low,ToolCall@1_clean_ci_high,Reject@1_corr_ci_low,Reject@1_corr_ci_high,Balanced_ci_low,Balanced_ci_high,n_samples,filter,n_keep_heads,n_keep_mlps,n_keep_total,edge_ratio,head_ratio,mlp_ratio,non_circuit_retain,random_trials,objective_gap_vs_random,delta_balanced_vs_random,delta_clean_vs_random,delta_reject_vs_random,p_balanced_vs_random,p_objective_vs_random,Balanced_std,ToolCall@1_clean_std,Reject@1_corr_std
0.02,D_val,Full model,1.0,1.0,1.0,0.8928208017449293,1.0,0.8928208017449293,1.0,0.8928208017449293,1.0,32,"balanced(clean tool, corr non-tool)",448,28,476,1.0,1.0,1.0,0.7,50,,,,,,,,,
0.02,D_val,Circuit-only,0.8125,0.46875,0.28125,0.6469084479862404,0.9111045531043405,0.30869387108068835,0.6355048288102536,0.15564580497742764,0.45374509425916565,32,"balanced(clean tool, corr non-tool)",62,18,80,0.16806722689075632,0.13839285714285715,0.6428571428571429,0.7,50,0.38437499999999997,0.270625,0.31062500000000004,0.258125,0.0196078431372549,0.0196078431372549,,,
0.02,D_val,Random same-size,0.501875,0.210625,0.010625,0.375,0.7359374999999999,0.15625,0.3296874999999999,0.0,0.13515624999999987,32,"balanced(clean tool, corr non-tool)",62,18,80,0.16806722689075632,0.13839285714285715,0.6428571428571429,0.7,50,,,,,,,0.032240550941322325,0.09589422884094746,0.04455070846799184
0.02,D_test,Full model,1.0,1.0,1.0,0.9258998703338824,0.9999999999999999,0.9258998703338824,0.9999999999999999,0.9258998703338824,0.9999999999999999,48,"balanced(clean tool, corr non-tool)",448,28,476,1.0,1.0,1.0,0.7,50,,,,,,,,,
0.02,D_test,Circuit-only,0.75,0.5,0.25,0.6121562719049204,0.8507936632620209,0.36389330502679385,0.6361066949732062,0.1492063367379791,0.3878437280950796,48,"balanced(clean tool, corr non-tool)",62,18,80,0.16806722689075632,0.13839285714285715,0.6428571428571429,0.7,50,0.32283333333333336,0.23166666666666666,0.19958333333333333,0.25625,0.0196078431372549,0.0196078431372549,,,
0.02,D_test,Random same-size,0.5504166666666667,0.24375,0.018333333333333333,0.4005208333333333,0.7567708333333333,0.10416666666666667,0.375,0.0,0.1364583333333333,48,"balanced(clean tool, corr non-tool)",62,18,80,0.16806722689075632,0.13839285714285715,0.6428571428571429,0.7,50,,,,,,,0.03718385252887184,0.08976145083250135,0.07842304260299464
0.01,D_val,Full model,1.0,1.0,1.0,0.8928208017449293,1.0,0.8928208017449293,1.0,0.8928208017449293,1.0,32,"balanced(clean tool, corr non-tool)",448,28,476,1.0,1.0,1.0,0.7,50,,,,,,,,,
0.01,D_val,Circuit-only,0.8125,0.46875,0.28125,0.6469084479862404,0.9111045531043405,0.30869387108068835,0.6355048288102536,0.15564580497742764,0.45374509425916565,32,"balanced(clean tool, corr non-tool)",62,18,80,0.16806722689075632,0.13839285714285715,0.6428571428571429,0.7,50,0.380125,0.26875,0.30000000000000004,0.25687499999999996,0.0196078431372549,0.0196078431372549,,,
0.01,D_val,Random same-size,0.5125,0.211875,0.0125,0.375,0.74296875,0.15625,0.3296874999999999,0.0,0.13515624999999987,32,"balanced(clean tool, corr non-tool)",62,18,80,0.16806722689075632,0.13839285714285715,0.6428571428571429,0.7,50,,,,,,,0.033071891388307385,0.10307764064044152,0.04387927329617025
0.01,D_test,Full model,1.0,1.0,1.0,0.9258998703338824,0.9999999999999999,0.9258998703338824,0.9999999999999999,0.9258998703338824,0.9999999999999999,48,"balanced(clean tool, corr non-tool)",448,28,476,1.0,1.0,1.0,0.7,50,,,,,,,,,
