q,clean_len,corr_len,len_diff_corr_minus_clean,clean_top1,corr_top1,clean_top1_id,corr_top1_id,clean_is_tool,corr_is_tool,balanced
1,206,206,0,I,Here,40,8420,0,0,0
2,247,247,0,<tool_call>,Here,151657,8420,1,0,1
3,266,266,0,<tool_call>,Here,151657,8420,1,0,1
4,241,241,0,<tool_call>,Here,151657,8420,1,0,1
5,254,254,0,<tool_call>,Here,151657,8420,1,0,1
6,268,268,0,<tool_call>,<tool_call>,151657,151657,1,1,0
7,233,233,0,<tool_call>,Here,151657,8420,1,0,1
8,263,263,0,I,To,40,1249,0,0,0
9,232,232,0,<tool_call>,Here,151657,8420,1,0,1
10,249,249,0,<tool_call>,Here,151657,8420,1,0,1
11,249,249,0,<tool_call>,Here,151657,8420,1,0,1
12,191,191,0,<tool_call>,<tool_call>,151657,151657,1,1,0
13,233,233,0,<tool_call>,Here,151657,8420,1,0,1
14,230,230,0,<tool_call>,Here,151657,8420,1,0,1
15,212,212,0,<tool_call>,Here,151657,8420,1,0,1
16,210,210,0,<tool_call>,Here,151657,8420,1,0,1
17,213,213,0,<tool_call>,Here,151657,8420,1,0,1
18,212,212,0,<tool_call>,Here,151657,8420,1,0,1
19,323,323,0,<tool_call>,Here,151657,8420,1,0,1
20,216,216,0,<tool_call>,Here,151657,8420,1,0,1
21,256,256,0,<tool_call>,Here,151657,8420,1,0,1
22,268,268,0,<tool_call>,Here,151657,8420,1,0,1
23,276,276,0,<tool_call>,Here,151657,8420,1,0,1
24,220,220,0,<tool_call>,<tool_call>,151657,151657,1,1,0
25,191,191,0,<tool_call>,Here,151657,8420,1,0,1
26,209,209,0,<tool_call>,Here,151657,8420,1,0,1
27,244,244,0,I,Here,40,8420,0,0,0
28,235,235,0,<tool_call>,Here,151657,8420,1,0,1
29,204,204,0,<tool_call>,<tool_call>,151657,151657,1,1,0
30,202,202,0,<tool_call>,Here,151657,8420,1,0,1
31,227,227,0,<tool_call>,Here,151657,8420,1,0,1
32,245,245,0,<tool_call>,Here,151657,8420,1,0,1
33,198,198,0,<tool_call>,Here,151657,8420,1,0,1
34,238,238,0,<tool_call>,<tool_call>,151657,151657,1,1,0
35,283,283,0,<tool_call>,<tool_call>,151657,151657,1,1,0
36,233,233,0,<tool_call>,Here,151657,8420,1,0,1
37,226,226,0,<tool_call>,Here,151657,8420,1,0,1
38,214,214,0,<tool_call>,Here,151657,8420,1,0,1
39,256,256,0,<tool_call>,Here,151657,8420,1,0,1
40,286,286,0,<tool_call>,<tool_call>,151657,151657,1,1,0
41,240,240,0,<tool_call>,Here,151657,8420,1,0,1
42,307,307,0,I,The,40,785,0,0,0
43,246,246,0,<tool_call>,Here,151657,8420,1,0,1
44,238,238,0,<tool_call>,Here,151657,8420,1,0,1
45,222,222,0,<tool_call>,Here,151657,8420,1,0,1
46,202,202,0,<tool_call>,Here,151657,8420,1,0,1
47,305,305,0,<tool_call>,<tool_call>,151657,151657,1,1,0
48,215,215,0,<tool_call>,Here,151657,8420,1,0,1
49,195,195,0,<tool_call>,Here,151657,8420,1,0,1
50,205,205,0,<tool_call>,Here,151657,8420,1,0,1
51,221,221,0,<tool_call>,<tool_call>,151657,151657,1,1,0
52,202,202,0,<tool_call>,<tool_call>,151657,151657,1,1,0
53,215,215,0,<tool_call>,Here,151657,8420,1,0,1
54,197,197,0,<tool_call>,Here,151657,8420,1,0,1
55,205,205,0,<tool_call>,Here,151657,8420,1,0,1
56,188,188,0,<tool_call>,Here,151657,8420,1,0,1
57,212,212,0,<tool_call>,Here,151657,8420,1,0,1
58,207,207,0,<tool_call>,Here,151657,8420,1,0,1
59,215,215,0,<tool_call>,Here,151657,8420,1,0,1
60,208,208,0,<tool_call>,Here,151657,8420,1,0,1
61,203,203,0,<tool_call>,Here,151657,8420,1,0,1
62,210,210,0,<tool_call>,Here,151657,8420,1,0,1
63,233,233,0,<tool_call>,Here,151657,8420,1,0,1
64,283,283,0,I,I,40,40,0,0,0
65,261,261,0,<tool_call>,Here,151657,8420,1,0,1
66,226,226,0,<tool_call>,<tool_call>,151657,151657,1,1,0
67,276,276,0,<tool_call>,Here,151657,8420,1,0,1
68,382,382,0,<tool_call>,Here,151657,8420,1,0,1
69,471,471,0,<tool_call>,<tool_call>,151657,151657,1,1,0
70,321,321,0,I,To,40,1249,0,0,0
71,280,280,0,<tool_call>,Here,151657,8420,1,0,1
72,279,279,0,<tool_call>,Here,151657,8420,1,0,1
73,386,386,0,<tool_call>,The,151657,785,1,0,1
74,313,313,0,I,Here,40,8420,0,0,0
75,349,349,0,I,Here,40,8420,0,0,0
76,239,239,0,I,Here,40,8420,0,0,0
77,298,298,0,<tool_call>,Here,151657,8420,1,0,1
78,269,269,0,<tool_call>,Here,151657,8420,1,0,1
79,471,471,0,<tool_call>,<tool_call>,151657,151657,1,1,0
80,303,303,0,<tool_call>,<tool_call>,151657,151657,1,1,0
81,277,277,0,I,To,40,1249,0,0,0
82,426,426,0,<tool_call>,The,151657,785,1,0,1
83,237,237,0,<tool_call>,Here,151657,8420,1,0,1
84,200,200,0,<tool_call>,The,151657,785,1,0,1
85,303,303,0,<tool_call>,Here,151657,8420,1,0,1
86,211,211,0,<tool_call>,<tool_call>,151657,151657,1,1,0
87,286,286,0,<tool_call>,Here,151657,8420,1,0,1
88,415,415,0,<tool_call>,I,151657,40,1,0,1
89,359,359,0,<tool_call>,To,151657,1249,1,0,1
90,266,266,0,<tool_call>,Here,151657,8420,1,0,1
91,280,280,0,<tool_call>,Here,151657,8420,1,0,1
92,250,250,0,I,To,40,1249,0,0,0
93,291,291,0,<tool_call>,<tool_call>,151657,151657,1,1,0
94,254,254,0,<tool_call>,Sure,151657,39814,1,0,1
95,483,483,0,I,The,40,785,0,0,0
96,329,329,0,I,Here,40,8420,0,0,0
97,311,311,0,<tool_call>,Here,151657,8420,1,0,1
98,269,269,0,<tool_call>,Here,151657,8420,1,0,1
99,228,228,0,<tool_call>,<tool_call>,151657,151657,1,1,0
100,307,307,0,<tool_call>,Here,151657,8420,1,0,1
101,288,288,0,<tool_call>,Here,151657,8420,1,0,1
102,272,272,0,<tool_call>,Here,151657,8420,1,0,1
103,255,255,0,<tool_call>,Here,151657,8420,1,0,1
104,306,306,0,<tool_call>,Here,151657,8420,1,0,1
105,238,238,0,<tool_call>,Here,151657,8420,1,0,1
106,435,435,0,<tool_call>,Here,151657,8420,1,0,1
107,282,282,0,<tool_call>,Here,151657,8420,1,0,1
108,370,370,0,<tool_call>,To,151657,1249,1,0,1
109,257,257,0,<tool_call>,I,151657,40,1,0,1
110,455,455,0,<tool_call>,<tool_call>,151657,151657,1,1,0
111,353,353,0,<tool_call>,To,151657,1249,1,0,1
112,307,307,0,<tool_call>,Here,151657,8420,1,0,1
113,318,318,0,<tool_call>,Here,151657,8420,1,0,1
114,302,302,0,<tool_call>,<tool_call>,151657,151657,1,1,0
115,244,244,0,<tool_call>,To,151657,1249,1,0,1
116,482,482,0,<tool_call>,<tool_call>,151657,151657,1,1,0
117,257,257,0,I,To,40,1249,0,0,0
118,337,337,0,<tool_call>,Here,151657,8420,1,0,1
119,305,305,0,<tool_call>,Here,151657,8420,1,0,1
120,324,324,0,I,The,40,785,0,0,0
121,379,379,0,<tool_call>,To,151657,1249,1,0,1
122,259,259,0,<tool_call>,Here,151657,8420,1,0,1
123,293,293,0,<tool_call>,Here,151657,8420,1,0,1
124,388,388,0,<tool_call>,<tool_call>,151657,151657,1,1,0
125,445,445,0,<tool_call>,<tool_call>,151657,151657,1,1,0
126,297,297,0,<tool_call>,Here,151657,8420,1,0,1
127,405,405,0,<tool_call>,<tool_call>,151657,151657,1,1,0
128,410,410,0,<tool_call>,<tool_call>,151657,151657,1,1,0
129,247,247,0,<tool_call>,Here,151657,8420,1,0,1
130,552,552,0,<tool_call>,<tool_call>,151657,151657,1,1,0
131,391,391,0,<tool_call>,I,151657,40,1,0,1
132,230,230,0,<tool_call>,<tool_call>,151657,151657,1,1,0
133,289,289,0,<tool_call>,To,151657,1249,1,0,1
134,317,317,0,<tool_call>,Here,151657,8420,1,0,1
135,293,293,0,I,To,40,1249,0,0,0
136,259,259,0,<tool_call>,Here,151657,8420,1,0,1
137,294,294,0,<tool_call>,Here,151657,8420,1,0,1
138,297,297,0,<tool_call>,Here,151657,8420,1,0,1
139,233,233,0,<tool_call>,The,151657,785,1,0,1
140,253,253,0,<tool_call>,Here,151657,8420,1,0,1
141,262,262,0,<tool_call>,Here,151657,8420,1,0,1
142,370,370,0,<tool_call>,Here,151657,8420,1,0,1
143,327,327,0,<tool_call>,Here,151657,8420,1,0,1
144,305,305,0,<tool_call>,To,151657,1249,1,0,1
145,313,313,0,I,To,40,1249,0,0,0
146,235,235,0,<tool_call>,Here,151657,8420,1,0,1
147,285,285,0,I,Here,40,8420,0,0,0
148,324,324,0,<tool_call>,Here,151657,8420,1,0,1
149,367,367,0,<tool_call>,Here,151657,8420,1,0,1
150,343,343,0,<tool_call>,Here,151657,8420,1,0,1
151,246,246,0,<tool_call>,Here,151657,8420,1,0,1
152,295,295,0,<tool_call>,Here,151657,8420,1,0,1
153,386,386,0,<tool_call>,Here,151657,8420,1,0,1
154,433,433,0,<tool_call>,<tool_call>,151657,151657,1,1,0
155,285,285,0,<tool_call>,To,151657,1249,1,0,1
156,224,224,0,<tool_call>,Here,151657,8420,1,0,1
157,230,230,0,<tool_call>,To,151657,1249,1,0,1
158,265,265,0,<tool_call>,Here,151657,8420,1,0,1
159,276,276,0,I,Here,40,8420,0,0,0
160,446,446,0,<tool_call>,<tool_call>,151657,151657,1,1,0
161,363,363,0,<tool_call>,The,151657,785,1,0,1
162,267,267,0,<tool_call>,Here,151657,8420,1,0,1
163,242,242,0,<tool_call>,To,151657,1249,1,0,1
164,262,262,0,<tool_call>,Here,151657,8420,1,0,1
