tau,split,setting,ToolCall@1_clean,Reject@1_corr,Balanced,ToolCall@1_clean_ci_low,ToolCall@1_clean_ci_high,Reject@1_corr_ci_low,Reject@1_corr_ci_high,Balanced_ci_low,Balanced_ci_high,n_samples,filter,n_keep_heads,n_keep_mlps,n_keep_total,edge_ratio,head_ratio,mlp_ratio,non_circuit_retain,random_trials,objective_gap_vs_random,delta_balanced_vs_random,delta_clean_vs_random,delta_reject_vs_random,p_balanced_vs_random,p_objective_vs_random,Balanced_std,ToolCall@1_clean_std,Reject@1_corr_std
0.02,D_val,Full model,1.0,1.0,1.0,0.8928208017449293,1.0,0.8928208017449293,1.0,0.8928208017449293,1.0,32,"balanced(clean tool, corr non-tool)",448,28,476,1.0,1.0,1.0,0.7,20,,,,,,,,,
0.02,D_val,Circuit-only,0.75,0.4375,0.21875,0.5789344100575552,0.8674759908149096,0.2816533111504036,0.6067440886314801,0.11023836252604186,0.3875499364924353,32,"balanced(clean tool, corr non-tool)",26,14,40,0.08403361344537816,0.05803571428571429,0.5,0.7,20,0.3253125,0.215625,0.3078125,0.240625,0.047619047619047616,0.047619047619047616,,,
0.02,D_val,Random same-size,0.4421875,0.196875,0.003125,0.34375,0.59375,0.15625,0.21875,0.0,0.03125,32,"balanced(clean tool, corr non-tool)",26,14,40,0.08403361344537816,0.05803571428571429,0.5,0.7,20,,,,,,,0.009375000000000001,0.06722382738843423,0.02633171804117612
0.02,D_test,Full model,1.0,1.0,1.0,0.9258998703338824,0.9999999999999999,0.9258998703338824,0.9999999999999999,0.9258998703338824,0.9999999999999999,48,"balanced(clean tool, corr non-tool)",448,28,476,1.0,1.0,1.0,0.7,20,,,,,,,,,
0.02,D_test,Circuit-only,0.7083333333333334,0.4791666666666667,0.20833333333333334,0.5682074019042831,0.8175842107348348,0.34471316176951616,0.616707676966572,0.11730272957905595,0.34258901272617925,48,"balanced(clean tool, corr non-tool)",26,14,40,0.08403361344537816,0.05803571428571429,0.5,0.7,20,0.29500000000000004,0.203125,0.2020833333333335,0.2572916666666667,0.047619047619047616,0.047619047619047616,,,
0.02,D_test,Random same-size,0.5062499999999999,0.221875,0.005208333333333333,0.4166666666666667,0.6468749999999999,0.12395833333333334,0.3333333333333333,0.0,0.041666666666666664,48,"balanced(clean tool, corr non-tool)",26,14,40,0.08403361344537816,0.05803571428571429,0.5,0.7,20,,,,,,,0.012968645414571595,0.07098635432250341,0.05715893715966228
0.01,D_val,Full model,1.0,1.0,1.0,0.8928208017449293,1.0,0.8928208017449293,1.0,0.8928208017449293,1.0,32,"balanced(clean tool, corr non-tool)",448,28,476,1.0,1.0,1.0,0.7,20,,,,,,,,,
0.01,D_val,Circuit-only,0.75,0.4375,0.21875,0.5789344100575552,0.8674759908149096,0.2816533111504036,0.6067440886314801,0.11023836252604186,0.3875499364924353,32,"balanced(clean tool, corr non-tool)",26,14,40,0.08403361344537816,0.05803571428571429,0.5,0.7,20,0.32500000000000007,0.2171875,0.309375,0.2296875,0.047619047619047616,0.047619047619047616,,,
0.01,D_val,Random same-size,0.440625,0.2078125,0.0015625,0.32734375,0.57890625,0.15625,0.21875,0.0,0.016406249999999956,32,"balanced(clean tool, corr non-tool)",26,14,40,0.08403361344537816,0.05803571428571429,0.5,0.7,20,,,,,,,0.006810779599282301,0.06621756281380341,0.022696623509896797
0.01,D_test,Full model,1.0,1.0,1.0,0.9258998703338824,0.9999999999999999,0.9258998703338824,0.9999999999999999,0.9258998703338824,0.9999999999999999,48,"balanced(clean tool, corr non-tool)",448,28,476,1.0,1.0,1.0,0.7,20,,,,,,,,,
